Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1987	1987	Willis, Connie	https://en.wikipedia.org//wiki/Connie_Willis	Nominated	"Spice Pogrom"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1987	1987	Flynn, Michael F.	https://en.wikipedia.org//wiki/Michael_F._Flynn	Nominated	"Eifelheim"	https://en.wikipedia.org//wiki/Eifelheim_(novel)	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1988	1988	Card, Orson Scott	https://en.wikipedia.org//wiki/Orson_Scott_Card	Won	"Eye for Eye"	https://en.wikipedia.org//wiki/Eye_for_Eye	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1988	1988	Silverberg, Robert	https://en.wikipedia.org//wiki/Robert_Silverberg	Nominated	"The Secret Sharer"	https://en.wikipedia.org//wiki/The_Secret_Sharer	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1988	1988	Robinson, Kim Stanley	https://en.wikipedia.org//wiki/Kim_Stanley_Robinson	Nominated	"The Blind Geometer"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1988	1988	Robinson, Kim Stanley	https://en.wikipedia.org//wiki/Kim_Stanley_Robinson	Nominated	"Mother Goddess of the World"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1988	1988	Flynn, Michael F.	https://en.wikipedia.org//wiki/Michael_F._Flynn	Nominated	"The Forest of Time"	https://en.wikipedia.org//wiki/The_Forest_of_Time	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1989	1989	Willis, Connie	https://en.wikipedia.org//wiki/Connie_Willis	Won	"The Last of the Winnebagos"	https://en.wikipedia.org//wiki/The_Last_of_the_Winnebagos	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1989	1989	Shepard, Lucius	https://en.wikipedia.org//wiki/Lucius_Shepard	Nominated	"The Scalehunter's Beautiful Daughter"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1989	1989	Spinrad, Norman	https://en.wikipedia.org//wiki/Norman_Spinrad	Nominated	"Journals of the Plague Years"		Full Spectrum (Doubleday)	https://en.wikipedia.org//wiki/Full_Spectrum
